id,difficulty,text,label
1,easy,"Đáng tiền, pin trâu, màn hình đẹp. Mình sẽ cân nhắc mua lại.",positive
2,easy,"Giao hàng nhanh, đóng gói cẩn thận. Nếu cải thiện thêm thì tốt hơn.",positive
3,easy,"Sản phẩm rất tốt, dùng ổn định.",positive
4,easy,"Âm thanh hay, thiết kế đẹp.",positive
5,easy,"Đáng tiền, pin trâu, màn hình đẹp. Không biết do máy mình hay sản phẩm.",positive
6,easy,"Sản phẩm rất tốt, dùng ổn định. Không biết do máy mình hay sản phẩm.",positive
7,easy,"Chất lượng tuyệt vời, mình rất hài lòng.",positive
8,easy,"Sản phẩm rất tốt, dùng ổn định. Trải nghiệm khá ổn.",positive
9,easy,"Giao hàng nhanh, đóng gói cẩn thận.",positive
10,easy,"Chất lượng tuyệt vời, mình rất hài lòng.",positive
11,easy,"Âm thanh hay, thiết kế đẹp. Trải nghiệm khá ổn.",positive
12,easy,"Sản phẩm rất tốt, dùng ổn định. Không biết do máy mình hay sản phẩm.",positive
13,easy,"Sản phẩm rất tốt, dùng ổn định. Mình sẽ cân nhắc mua lại.",positive
14,easy,"Hàng đúng mô tả, hoạt động tốt. Nếu cải thiện thêm thì tốt hơn.",positive
15,easy,"Âm thanh hay, thiết kế đẹp.",positive
16,easy,"Âm thanh hay, thiết kế đẹp. Không biết do máy mình hay sản phẩm.",positive
17,easy,"Giao hàng nhanh, đóng gói cẩn thận.",positive
18,easy,"Chất lượng tuyệt vời, mình rất hài lòng.",positive
19,easy,"Âm thanh hay, thiết kế đẹp. Mình sẽ cân nhắc mua lại.",positive
20,easy,"Đáng tiền, pin trâu, màn hình đẹp. Trải nghiệm khá ổn.",positive
21,easy,"Chất lượng tuyệt vời, mình rất hài lòng. Không biết do máy mình hay sản phẩm.",positive
22,easy,"Sản phẩm rất tốt, dùng ổn định. Không biết do máy mình hay sản phẩm.",positive
23,easy,"Đáng tiền, pin trâu, màn hình đẹp. Không biết do máy mình hay sản phẩm.",positive
24,easy,"Hàng đúng mô tả, hoạt động tốt. Mình sẽ cân nhắc mua lại.",positive
25,easy,"Sản phẩm rất tốt, dùng ổn định. Không biết do máy mình hay sản phẩm.",positive
26,easy,"Âm thanh hay, thiết kế đẹp. Nếu cải thiện thêm thì tốt hơn.",positive
27,easy,"Chất lượng tuyệt vời, mình rất hài lòng. Nói chung ổn.",positive
28,easy,"Sản phẩm rất tốt, dùng ổn định. Không biết do máy mình hay sản phẩm.",positive
29,easy,"Hàng đúng mô tả, hoạt động tốt.",positive
30,easy,"Âm thanh hay, thiết kế đẹp.",positive
31,easy,"Âm thanh hay, thiết kế đẹp. Mình sẽ cân nhắc mua lại.",positive
32,easy,"Giao hàng nhanh, đóng gói cẩn thận. Nếu cải thiện thêm thì tốt hơn.",positive
33,easy,"Âm thanh hay, thiết kế đẹp. Trải nghiệm khá ổn.",positive
34,easy,"Đáng tiền, pin trâu, màn hình đẹp. Trải nghiệm khá ổn.",positive
35,easy,"Âm thanh hay, thiết kế đẹp. Trải nghiệm khá ổn.",positive
36,easy,"Đáng tiền, pin trâu, màn hình đẹp. Nói chung ổn.",positive
37,easy,"Chất lượng tuyệt vời, mình rất hài lòng. Mình sẽ cân nhắc mua lại.",positive
38,easy,"Hàng đúng mô tả, hoạt động tốt. Mình sẽ cân nhắc mua lại.",positive
39,easy,"Sản phẩm rất tốt, dùng ổn định. Không biết do máy mình hay sản phẩm.",positive
40,easy,"Đáng tiền, pin trâu, màn hình đẹp. Không biết do máy mình hay sản phẩm.",positive
41,easy,"Giao hàng nhanh, đóng gói cẩn thận. Nói chung ổn.",positive
42,easy,"Hàng đúng mô tả, hoạt động tốt. Trải nghiệm khá ổn.",positive
43,easy,"Đáng tiền, pin trâu, màn hình đẹp. Không biết do máy mình hay sản phẩm.",positive
44,easy,"Sản phẩm rất tốt, dùng ổn định.",positive
45,easy,"Âm thanh hay, thiết kế đẹp. Trải nghiệm khá ổn.",positive
46,easy,"Chất lượng tuyệt vời, mình rất hài lòng. Nói chung ổn.",positive
47,easy,"Chất lượng tuyệt vời, mình rất hài lòng. Trải nghiệm khá ổn.",positive
48,easy,"Giao hàng nhanh, đóng gói cẩn thận.",positive
49,easy,"Hàng đúng mô tả, hoạt động tốt.",positive
50,easy,"Âm thanh hay, thiết kế đẹp. Không biết do máy mình hay sản phẩm.",positive
51,easy,"Đáng tiền, pin trâu, màn hình đẹp. Nói chung ổn.",positive
52,easy,"Hàng đúng mô tả, hoạt động tốt. Nói chung ổn.",positive
53,easy,"Âm thanh hay, thiết kế đẹp. Trải nghiệm khá ổn.",positive
54,easy,"Âm thanh hay, thiết kế đẹp. Trải nghiệm khá ổn.",positive
55,easy,"Sản phẩm rất tốt, dùng ổn định.",positive
56,easy,"Đáng tiền, pin trâu, màn hình đẹp. Trải nghiệm khá ổn.",positive
